[KTF] Kernel Telemetry Framework Initialized
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 36, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 36, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 39, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 39, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 40, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 40, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 40, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 41, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 41, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 41, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 41, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 43, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 43, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 46, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 46, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 46, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 46, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 46, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 49, "thread_id": 3, "data1": 2, "da{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 50, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 50, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 52, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 0, "thread_id": -268370093, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 0, "thread_id": 3, "data1": 2, "data2": 0}
Unhandled exception: 1
